City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
446,santa maria da vitoria,-13.3947,-44.1886,19.83,97,95,0.5,BR,1674448644
447,sol-iletsk,51.1631,54.9918,-16.21,78,98,0.96,RU,1674448645
448,williams lake,52.1415,-122.1445,-3.24,92,75,3.6,CA,1674448645
449,sao jose da coroa grande,-8.8978,-35.1478,25.22,86,14,3.07,BR,1674448646
450,sabha,27.0377,14.4283,9.68,27,0,1.59,LY,1674448646
451,chuy,-33.6971,-53.4616,19.24,84,23,1.05,UY,1674448647
452,shitanjing,39.2342,106.3439,-14.72,63,75,9.17,CN,1674448647
453,londoko,49.0333,131.9833,-27.35,75,61,3.51,RU,1674448648
454,ulaangom,49.9811,92.0667,-26.19,94,99,1.8,MN,1674448648
455,mount gambier,-37.8333,140.7667,24.29,48,33,5.65,AU,1674448649
456,sao pedro do sul,-29.6206,-54.1789,22.91,50,32,0.98,BR,1674448649
457,cananeia,-25.0147,-47.9267,23.25,94,57,1.24,BR,1674448650
458,tehachapi,35.1322,-118.449,4.63,90,68,2.24,US,1674448650
459,fort nelson,58.8053,-122.7002,-7.81,98,100,0.0,CA,1674448651
460,zaranj,30.9667,61.8833,0.98,45,0,6.34,AF,1674448469
461,andenes,69.3143,16.1194,4.99,65,40,11.32,NO,1674448652
462,casian,11.035,119.7136,27.0,78,99,9.46,PH,1674448652
463,lumphat,13.4878,106.9816,33.91,37,52,2.77,KH,1674448653
464,goderich,43.7501,-81.7165,-1.72,93,48,1.03,CA,1674448546
465,kimry,56.8667,37.35,-6.24,97,87,1.74,RU,1674448653
466,barcelona,41.3888,2.159,5.27,58,20,5.14,ES,1674448516
467,ha giang,22.8333,104.9833,21.85,61,96,1.08,VN,1674448654
468,lata,40.1629,-8.3327,2.26,64,1,2.15,PT,1674448654
469,edd,13.9297,41.6925,24.67,59,32,7.76,ER,1674448655
470,udachnyy,66.4167,112.4,-35.46,91,99,1.27,RU,1674448655
471,turayf,31.6725,38.6637,6.14,87,96,3.09,SA,1674448656
472,tela,15.7833,-87.45,22.06,84,4,1.4,HN,1674448656
473,yeppoon,-23.1333,150.7333,29.88,63,10,4.5,AU,1674448657
474,fare,-16.7,-151.0167,25.66,74,100,3.95,PF,1674448657
475,beloha,-25.1667,45.05,26.22,73,97,7.59,MG,1674448657
476,roald,62.5833,6.1333,7.08,65,20,8.23,NO,1674448658
477,sungaipenuh,-2.0833,101.3833,20.5,93,100,1.44,ID,1674448658
478,lons-le-saunier,46.75,5.75,-0.98,98,58,1.82,FR,1674448659
479,puerto rondon,6.2805,-71.1,25.27,60,53,2.47,CO,1674448659
480,deputatskiy,69.3,139.9,-39.57,100,73,1.0,RU,1674448660
481,susehri,40.1644,38.0867,1.12,62,0,1.04,TR,1674448660
482,carlos chagas,-17.7031,-40.7664,22.88,91,100,1.67,BR,1674448661
483,barahona,18.2085,-71.1008,22.14,81,59,1.07,DO,1674448661
484,alice town,25.7167,-79.3,24.12,83,74,5.69,BS,1674448662
485,bontang,0.1333,117.5,28.78,69,100,0.82,ID,1674448662
486,uvinza,-5.1036,30.3911,18.7,92,90,0.73,TZ,1674448663
487,magistralnyy,56.1725,107.4458,-33.9,86,28,2.18,RU,1674448663
488,stornoway,58.2093,-6.3865,8.98,93,100,7.2,GB,1674448664
489,nauta,-4.5061,-73.5757,22.82,92,100,0.68,PE,1674448664
490,tumut,-35.3,148.2167,28.66,28,15,6.15,AU,1674448665
491,terrace,54.5163,-128.6035,0.95,100,100,7.72,CA,1674448665
492,flinders,-34.5833,150.8552,22.92,65,68,3.47,AU,1674448665
493,elektrogorsk,55.8794,38.7919,-16.08,100,94,1.17,RU,1674448666
494,kurim,49.2985,16.5314,0.8,90,100,2.24,CZ,1674448667
495,santa cruz del sur,20.7147,-77.9956,22.58,81,0,2.75,CU,1674448667
496,nouadhibou,20.931,-17.0347,16.99,59,0,9.77,MR,1674448667
497,mahon,39.8885,4.2658,6.31,75,40,6.17,ES,1674448668
498,iquique,-20.2208,-70.1431,21.02,78,55,0.25,CL,1674448438
499,norman wells,65.282,-126.8329,-23.98,77,100,0.0,CA,1674448668
500,paita,-5.0892,-81.1144,21.27,83,36,2.28,PE,1674448669
501,noumea,-22.2763,166.4572,29.44,99,74,1.93,NC,1674448381
502,san lorenzo,-25.3333,-57.5333,22.55,100,0,0.0,PY,1674448670
503,celestun,20.8667,-90.4,22.92,93,11,3.92,MX,1674448670
504,avera,33.194,-82.5271,7.73,98,97,3.14,US,1674448671
505,mahajanga,-15.7167,46.3167,24.01,100,75,7.2,MG,1674448671
506,nabire,-3.3667,135.4833,29.0,70,87,1.88,ID,1674448672
507,portland,45.5234,-122.6762,6.22,89,100,2.24,US,1674448383
508,lokosovo,61.1333,74.8167,-13.79,97,99,3.28,RU,1674448673
509,westport,41.1415,-73.3579,4.62,90,100,4.63,US,1674448673
510,nemuro,43.3236,145.575,-5.64,56,37,3.87,JP,1674448674
511,maceio,-9.6658,-35.7353,24.69,94,20,1.03,BR,1674448422
512,senador jose porfirio,-2.5908,-51.9542,22.31,96,55,1.66,BR,1674448674
513,naron,43.5167,-8.1528,3.7,79,10,2.69,ES,1674448675
514,batemans bay,-35.7167,150.1833,22.83,59,30,4.1,AU,1674448675
515,bahir dar,11.5936,37.3908,17.04,48,84,1.52,ET,1674448676
516,jurilovca,44.7667,28.8667,1.13,78,99,5.73,RO,1674448676
517,quebo,11.3333,-14.9333,17.43,82,0,1.7,GW,1674448677
518,paris,48.8534,2.3488,1.77,89,100,5.14,FR,1674448441
519,kushiro,42.975,144.3747,-5.47,49,20,2.06,JP,1674448671
520,labuhan,-6.8844,112.2051,29.75,66,82,2.32,ID,1674448677
521,ahipara,-35.1667,173.1667,20.96,67,99,3.46,NZ,1674448678
522,faya,18.3851,42.4509,8.06,67,2,0.17,SA,1674448678
523,tual,-5.6667,132.75,27.8,77,100,7.89,ID,1674448679
524,pedro juan caballero,-22.5472,-55.7333,19.07,90,100,2.47,PY,1674448680
525,vangaindrano,-23.35,47.6,25.14,88,100,5.5,MG,1674448680
526,conde,-7.2597,-34.9075,25.7,89,40,2.06,BR,1674448681
527,san cristobal,7.7669,-72.225,20.1,74,84,1.32,VE,1674448681
528,carolina,18.3808,-65.9574,24.94,81,20,1.54,PR,1674448682
529,oistins,13.0667,-59.5333,26.05,78,40,10.29,BB,1674448617
530,banjar,-8.19,114.9675,31.43,55,19,1.65,ID,1674448683
531,pacifica,37.6138,-122.4869,13.39,31,0,8.75,US,1674448479
532,la asuncion,11.0333,-63.8628,24.47,85,99,7.32,VE,1674448683
533,ust-nera,64.5667,143.2,-33.61,100,100,1.29,RU,1674448684
534,lensk,60.7253,114.9278,-32.4,90,100,6.26,RU,1674448393
535,claudio,-20.4433,-44.7658,18.08,96,100,0.9,BR,1674448685
536,haverfordwest,51.8017,-4.9691,6.7,92,100,0.45,GB,1674448685
537,ozernovskiy,51.5,156.5167,-9.03,67,78,2.85,RU,1674448686
538,pomabamba,-8.8333,-77.4667,8.8,94,94,2.04,PE,1674448686
539,port augusta,-32.5,137.7667,36.49,14,68,5.97,AU,1674448687
540,nantucket,41.2835,-70.0995,9.08,97,100,5.14,US,1674448688
541,grand gaube,-20.0064,57.6608,26.32,78,99,1.34,MU,1674448688
542,lamar,33.6668,-95.5836,1.87,90,0,0.0,US,1674448689
543,liusha,27.2098,108.59,1.95,95,100,1.46,CN,1674448689
544,astoria,46.1879,-123.8313,6.03,70,100,1.54,US,1674448690
545,ajaccio,42.0,8.9167,4.03,86,0,2.57,FR,1674448690
546,craig,40.5153,-107.5464,-9.03,67,20,2.57,US,1674448573
547,indiaroba,-11.5192,-37.5117,24.02,89,72,1.99,BR,1674448691
548,gat,31.61,34.7642,15.78,77,22,1.84,IL,1674448692
549,leczyca,52.0596,19.1997,1.16,86,100,3.42,PL,1674448670
550,andreiasu de jos,45.75,26.8333,1.1,93,55,1.84,RO,1674448692
551,kloulklubed,7.0419,134.2556,25.28,89,100,8.41,PW,1674448693
552,galle,6.0367,80.217,27.64,70,98,1.77,LK,1674448693
553,malchevskaya,49.0552,40.3625,-4.96,83,64,6.25,RU,1674448694
554,yarmouth,41.7057,-70.2286,9.03,96,100,3.09,US,1674448694
555,banda aceh,5.5577,95.3222,27.43,75,81,3.07,ID,1674448695
556,belen,36.4891,36.2233,1.08,100,20,1.54,TR,1674448695
557,tonantins,-2.8731,-67.8022,22.72,99,100,1.11,BR,1674448696
558,saa,4.3667,11.45,21.06,92,97,1.06,CM,1674448696
559,marang,5.2056,103.2059,29.42,78,39,2.91,MY,1674448697
560,goundam,16.4145,-3.6708,19.13,16,6,4.11,ML,1674448698
561,solginskiy,61.05,41.3428,-9.17,99,97,1.44,RU,1674448698
562,severomuysk,56.1481,113.4267,-34.92,93,77,2.39,RU,1674448699
563,saint-pierre,-21.3393,55.4781,25.82,78,0,1.54,RE,1674448699
564,nata,8.3333,-80.5167,22.55,83,3,2.36,PA,1674448700
565,viedma,-40.8135,-62.9967,17.0,72,9,2.79,AR,1674448700
566,mackenzie,55.2999,-123.1698,-3.88,86,100,3.09,CA,1674448701
567,hailey,43.5196,-114.3153,-11.72,100,100,1.54,US,1674448485
568,luwuk,-0.9516,122.7875,28.53,78,100,1.01,ID,1674448702
569,marfino,55.7028,37.3822,-3.86,93,100,3.0,RU,1674448702
570,sayat,38.7839,63.8803,-13.07,76,43,1.93,TM,1674448703
571,puerto baquerizo moreno,-0.9,-89.6,23.44,86,96,2.5,EC,1674448703
572,kamina,-8.7386,24.9906,17.06,98,100,1.62,CD,1674448704
573,jiblah,13.9216,44.1467,13.75,68,31,0.9,YE,1674448705
574,dutse,11.7594,9.3392,17.79,19,99,2.93,NG,1674448705
575,sao mateus do maranhao,-4.0417,-44.475,22.16,98,41,1.63,BR,1674448706
576,dese,11.1333,39.6333,11.92,52,71,0.92,ET,1674448707
577,korla,41.7597,86.1469,-9.52,59,2,0.81,CN,1674448707
578,addanki,15.8167,79.9833,26.91,56,35,4.47,IN,1674448708
579,shache,38.4167,77.2406,-9.66,80,64,3.6,CN,1674448708
580,sao domingos do maranhao,-5.5758,-44.3853,21.0,98,40,1.15,BR,1674448709
581,kuldur,49.2167,131.6333,-30.35,86,75,3.26,RU,1674448709
582,yzeure,46.5644,3.355,-1.38,93,89,2.44,FR,1674448710
583,sompeta,18.9333,84.6,26.34,41,62,2.55,IN,1674448710
